# Data from Zhou_reg_bas_hydro_cost_supply_curve,,,,,,,,
reg_nm,reg_id,bsn_nm,basin_glu,basin_id,year.fillout,maxSubResource,mid.price,curve.exponent
India,17,Ganges_Bramaputra,GangesR,110,1975,1.00737,1.88702,3.587
India,17,Indus,IndusR,89,1975,0.274306719,0.72196,1.721
India,17,Irrawaddy,IrrawaddyR,137,1975,0.02121,0.06281,15
Indonesia,18,Irian_Jaya_Coast,IrianJaya,167,1975,0.51818,0.30191,1.417
Indonesia,18,Java_Timor,JavaTimor,175,1975,0.2169,0.57735,1.499
Indonesia,18,Kalimantan,Kalimantan,165,1975,0.50626,0.86646,1.623
Indonesia,18,Sepik,SepikR,178,1975,0.02363,0.02307,4.829
Indonesia,18,Sulawesi,Sulawesi,164,1975,0.27213,0.72999,2.363
Indonesia,18,Sumatra,Sumatra,163,1975,0.21512,1.7272,3.113
Japan,19,Japan,Japan,51,1975,0.40750668,1.6076,4.124
Mexico,20,Grijalva_Usumacinta,GrijUsuR,133,1975,0.15476,0.06136,1
Mexico,20,Isthmus_of_Tehuantepec,Tehuantpc,136,1975,0.0236,0.06298,1.429
Mexico,20,Lower_Colorado_River_Basin,UsaColoRS,221,1975,0.01806,0.04066,15
Mexico,20,Mexico_Northwest_Coast,MexCstNW,96,1975,0.01665,0.0086,1.355
Mexico,20,North_Gulf,MexGulf,105,1975,0.0258,0.04057,1
Mexico,20,Pacific_Central_Coast,MexCstW,115,1975,0.0286,0.03466,14.244
Mexico,20,Papaloapan,Papaloapan,130,1975,0.06299,0.07347,1
Mexico,20,Rio_Balsas,RioBalsas,134,1975,0.07939,0.27046,1.03
Mexico,20,Rio_Grande_River_Basin,RioGrande,231,1975,0.03032,0.08437,1
Mexico,20,Rio_Lerma,RioLerma,131,1975,0.031650045,0.04158,11.133
Mexico,20,Rio_Verde,RioVerde,132,1975,0.02009,0.08183,1.124
Middle East,21,Caspian_Sea_South_West_Coast,CaspianSW,72,1975,0.13984,0.07038,1
Middle East,21,Tigris_Euphrates,TigrEuphR,84,1975,0.108590116,0.59299,2.926
Pakistan,22,Indus,IndusR,89,1975,0.41211,0.59197,1.549
Russia,23,Amur,AmurR,43,1975,1.73647,0.30274,1.158
